timestamp,source_ip,destination_ip,event_type,severity,status,message
2026-07-28T08:12:20+00:00,203.0.113.45,10.0.0.12,Brute Force,Critical,Blocked,Multiple failed SSH login attempts
2026-07-28T09:34:02+00:00,198.51.100.23,10.0.0.8,Port Scan,High,Blocked,Rapid scan across 42 TCP ports
2026-07-29T10:05:31+00:00,10.0.0.21,10.0.0.5,Authentication,Low,Allowed,Successful administrative login
2026-07-29T13:48:14+00:00,192.0.2.88,10.0.0.15,SQL Injection,Critical,Blocked,Injection pattern detected in query parameter
2026-07-30T07:22:49+00:00,10.0.0.34,8.8.8.8,DNS Anomaly,Medium,Investigating,Unusual volume of DNS requests
2026-07-30T11:19:07+00:00,203.0.113.71,10.0.0.9,Malware,High,Blocked,Known malicious file hash observed
2026-07-30T16:40:55+00:00,10.0.0.42,198.51.100.90,Data Transfer,Medium,Investigating,Large outbound data transfer detected
2026-07-31T08:03:18+00:00,192.0.2.14,10.0.0.12,Brute Force,High,Blocked,Repeated password failures from remote host
2026-07-31T12:55:43+00:00,10.0.0.18,10.0.0.5,Authentication,Low,Allowed,User signed in with multi-factor authentication
2026-08-01T06:31:09+00:00,198.51.100.101,10.0.0.22,Web Attack,High,Blocked,Cross-site scripting payload rejected
2026-08-01T14:20:33+00:00,10.0.0.77,203.0.113.200,DNS Anomaly,Medium,Investigating,Request to newly registered domain
2026-08-02T09:11:27+00:00,203.0.113.19,10.0.0.12,Port Scan,Medium,Blocked,Horizontal scan activity detected
2026-08-02T15:46:01+00:00,10.0.0.29,10.0.0.5,Privilege Change,High,Investigating,Unexpected addition to administrators group
2026-08-03T07:58:44+00:00,192.0.2.210,10.0.0.8,Brute Force,Critical,Blocked,Credential stuffing behavior detected
2026-08-03T12:16:38+00:00,10.0.0.61,1.1.1.1,DNS Anomaly,Low,Allowed,Normal resolver traffic baseline event
2026-08-03T18:02:10+00:00,198.51.100.52,10.0.0.15,Web Attack,High,Blocked,Directory traversal attempt rejected
2026-08-04T05:45:50+00:00,10.0.0.16,10.0.0.5,Authentication,Low,Allowed,Service account authentication succeeded
2026-08-04T06:28:17+00:00,203.0.113.99,10.0.0.9,Malware,Critical,Investigating,Ransomware-like file modification pattern
